timestamp,winddir,windspeed
12:51 AM,WSW,11.5 mph
1:51 AM,SW,9.2 mph
2:51 AM,SW,9.2 mph
3:51 AM,SW,10.4 mph
4:51 AM,SW,6.9 mph
5:51 AM,WSW,11.5 mph
6:51 AM,WSW,11.5 mph
7:51 AM,WSW,15.0 mph
8:51 AM,WSW,18.4 mph
9:51 AM,West,16.1 mph
10:51 AM,NW,16.1 mph
11:51 AM,WNW,12.7 mph
12:51 PM,NW,12.7 mph
1:51 PM,NNW,8.1 mph
2:51 PM,NW,12.7 mph
3:51 PM,NW,10.4 mph
4:51 PM,WNW,10.4 mph
5:51 PM,North,5.8 mph
6:51 PM,Calm,Calm
7:51 PM,NE,5.8 mph
8:51 PM,Calm,Calm
9:51 PM,East,3.5 mph
10:51 PM,NE,10.4 mph
11:51 PM,ENE,6.9 mph
12:51 AM,ENE,8.1 mph
1:51 AM,ENE,8.1 mph
2:51 AM,ENE,8.1 mph
3:51 AM,ENE,8.1 mph
4:51 AM,NE,8.1 mph
5:51 AM,ENE,8.1 mph
6:51 AM,NE,8.1 mph
7:32 AM,ENE,6.9 mph
7:43 AM,ENE,5.8 mph
7:51 AM,East,6.9 mph
8:51 AM,ENE,8.1 mph
9:51 AM,NE,9.2 mph
10:51 AM,NE,10.4 mph
11:51 AM,ENE,9.2 mph
12:51 PM,East,10.4 mph
1:51 PM,ENE,11.5 mph
2:51 PM,ENE,11.5 mph
3:51 PM,NE,12.7 mph
4:29 PM,NE,12.7 mph
4:51 PM,NE,9.2 mph
5:17 PM,NE,10.4 mph
5:51 PM,NNE,11.5 mph
6:49 PM,NNE,12.7 mph
6:51 PM,NNE,12.7 mph
